Thoi Gian,File Anh,Noi Dung Doc Duoc,Do Tu Tin Trung Binh
23:36:16,scan_20260619_233616.jpg,831.20,97.8%
23:36:20,scan_20260619_233620.jpg,951.20,89.7%
23:36:26,scan_20260619_233626.jpg,931.20,98.2%
23:36:28,scan_20260619_233628.jpg,931.20,97.6%
23:37:43,scan_20260619_233743.jpg,61.01 | 903.38,88.2%
23:37:45,scan_20260619_233745.jpg,6101 | 803.38,97.9%
23:37:47,scan_20260619_233747.jpg,6101 | 903.3,91.7%
23:37:49,scan_20260619_233749.jpg,6101 | 903.38,94.9%
23:37:51,scan_20260619_233751.jpg,61.01 | 803.38,93.8%
23:37:53,scan_20260619_233753.jpg,61.01 | 803.38,90.3%
23:37:55,scan_20260619_233755.jpg,6101 | 803.38,95.9%
23:38:05,scan_20260619_233805.jpg,896,56.5%
23:38:07,scan_20260619_233807.jpg,81366,78.3%
23:38:11,scan_20260619_233811.jpg,3.06,84.9%
23:38:13,scan_20260619_233813.jpg,8306,89.4%
23:38:15,scan_20260619_233815.jpg,3.0 F,80.6%
23:38:25,scan_20260619_233825.jpg,61-F4 | 8306,98.3%
23:38:27,scan_20260619_233827.jpg,8306,99.7%
23:38:29,scan_20260619_233829.jpg,61-F4 | 8306,98.6%
23:38:31,scan_20260619_233831.jpg,61-F4 | 8306,97.8%
23:38:33,scan_20260619_233833.jpg,8306 | 61-F4,97.6%
23:38:35,scan_20260619_233835.jpg,61-F4 | 8306,98.7%
23:38:37,scan_20260619_233837.jpg,61-F4 | 8306,98.9%
23:38:39,scan_20260619_233839.jpg,8306 | 61-F4,96.9%
23:38:41,scan_20260619_233841.jpg,61-F4 | 8306,98.1%
23:38:43,scan_20260619_233843.jpg,8306 | 61-F4,99.0%
23:38:45,scan_20260619_233845.jpg,61F4 | 8306,87.3%
